constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
3,75,85,-0.0958181,0.19525,0.0779328,0.0228913,0.00964358,-0.997662,0.0636703
1,86,87,-0.161047,-0.0802226,0.0208523,0.0052983,-0.00644498,-0.153905,0.98805
0,89,90,-0.224498,-0.0937604,0.0127306,-0.0195107,-0.0100155,-0.153145,0.98796
3,17,59,-0.0825706,0.284434,0.0857302,-0.00615688,-0.00546523,-0.599803,0.800105
1,87,88,-0.267493,-0.0695992,0.00090606,-0.0117555,0.0143501,-0.13373,0.990844
0,90,91,-0.17629,-0.0776378,-0.00906132,-9.25916e-06,-0.00633542,-0.013659,0.999887
3,74,85,0.115934,0.279134,0.081775,0.0295027,-0.00124801,-0.967116,0.252617
1,88,89,-0.35037,-0.0241334,-0.0136802,0.0266312,-0.00925336,-0.0247807,0.999295
0,91,92,-0.273449,-0.0337052,0.0152628,-0.00291104,-0.00705637,-0.025472,0.999646
3,19,59,-0.274489,0.157968,0.0573749,-0.00134995,-0.00166451,-0.937087,0.349091
1,89,90,-0.202702,-0.179543,-0.0185673,0.00893597,-0.00385963,-0.138976,0.990248
0,92,93,-0.212648,-0.0878719,0.0170059,-0.0144807,-0.00991893,-0.211355,0.977252
3,15,59,-0.307604,-0.0535978,0.0809361,-0.0135072,-0.0031525,-0.759773,0.650041
1,90,91,-0.208559,-0.0117801,-0.00629705,-0.00157948,-0.000847793,-0.00811224,0.999965
0,93,94,-0.0951778,-0.0985694,-0.0117485,-0.0243796,0.00345299,-0.201339,0.979212
3,71,90,0.0781614,0.16697,0.0233235,0.00319635,-0.00976933,0.993252,0.115518
1,91,92,-0.293174,-0.0238141,-0.0289145,0.00220189,-0.0200152,-0.0368064,0.99912
0,94,95,-0.103592,-0.11188,-0.0351828,-0.00913429,0.00248021,-0.205739,0.978561
3,70,91,0.0316701,0.133199,0.0701569,-0.00887276,-0.00575669,0.994211,0.106926
1,92,93,-0.207571,-0.0761693,0.0170457,-0.00278567,0.0021303,-0.224275,0.97452
0,95,96,-0.297099,-0.0390792,0.00397929,0.00637233,0.0101152,-0.0503019,0.998663
3,69,92,0.0286772,0.151452,0.0436742,0.00412859,-0.00879305,0.982587,0.185546
1,93,94,-0.102895,-0.0930276,0.00153416,-0.0025596,-0.000970627,-0.211867,0.977295
0,96,97,-0.278905,-0.0948423,-0.00108933,0.0298346,-0.0272746,-0.163568,0.985704
3,68,93,0.030653,0.00319443,0.0405326,0.000297476,-0.0109348,0.799694,0.600308
1,94,95,-0.0735859,-0.126679,0.0144632,-0.00116125,0.00145124,-0.1798,0.983701
0,97,98,-0.2703,-0.0417781,-0.0132596,-0.000684174,0.00652916,-0.0154736,0.999859
3,68,94,-0.103082,-0.0516602,0.0419972,-0.00473741,-0.0103745,0.654378,0.756082
1,95,96,-0.308382,-0.0362808,0.062426,-0.00301649,-0.00145225,-0.0462258,0.998925
0,98,99,-0.344651,0.00313163,0.0170378,0.0161578,0.00827413,0.10956,0.993814
3,69,93,-0.127811,0.146297,0.0601583,0.0020997,-0.00598859,0.915961,0.401217
1,96,97,-0.305319,-0.05629,0.0693895,-0.000610891,-0.00105895,-0.189302,0.981918
0,99,100,-0.409699,-0.0256337,-0.0284272,0.00206456,0.00522524,0.00467588,0.999973
